國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
英國,國王與我,2020/01/01,威秀影城股份有限公司,Trafalgar Releasing Limited,1,55,0.00%,"39,120",122,"86,480",20200113,1
英國,國王與我,2020/01/01,威秀影城股份有限公司,Trafalgar Releasing Limited,5,49,-10.91%,"35,640",171,"122,120",20200120,1
英國,國王與我,2020/01/01,威秀影城股份有限公司,Trafalgar Releasing Limited,2,47,0.00%,"34,640",218,"156,760",20200203,2
英國,國王與我,2020/01/01,威秀影城股份有限公司,Trafalgar Releasing Limited,1,0,0.00%,0,218,"156,760",20200316,3
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,2,785,0.00%,"200,100",907,"226,940",20200113,1
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,68,"13,968","1,679.36%","3,308,626","14,875","3,535,566",20200120,1
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,67,"29,615",112.61%,"6,949,077","44,451","10,476,798",20200127,1
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,67,"17,141",-42.12%,"3,994,406","61,590","14,470,784",20200203,2
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,50,882,-10.73%,"205,819","76,062","17,842,950",20200210,2
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,51,"5,849",-53.59%,"1,366,330","80,041","18,772,568",20200217,2
